time,CHN1,CHN2
 0.000000e+00,  1.325015e-03,  8.052875e-03
 5.000000e-08,  4.500150e-04,  8.653750e-04
 1.000000e-07,  9.500150e-04,  1.177875e-03
 1.500000e-07,  2.000150e-04,  7.740375e-03
 2.000000e-07,  7.000150e-04,  1.490375e-03
 2.500000e-07, -1.124850e-04,  7.740375e-03
 3.000000e-07,  2.625150e-04,  1.490375e-03
 3.500000e-07, -2.999850e-04,  7.740375e-03
 4.000000e-07,  7.501500e-05,  8.052875e-03
 4.500000e-07, -6.749850e-04,  1.177875e-03
 5.000000e-07,  1.251500e-05,  7.427875e-03
 5.500000e-07, -9.874850e-04,  2.403750e-04
 6.000000e-07, -6.124850e-04,  8.653750e-04
 6.500000e-07, -1.299985e-03,  7.427875e-03
 7.000000e-07, -9.249850e-04,  1.177875e-03
 7.500000e-07, -1.549985e-03,  6.802875e-03
 8.000000e-07, -1.049985e-03, -7.212500e-05
 8.500000e-07, -1.924985e-03,  7.740375e-03
 9.000000e-07, -1.487485e-03,  6.802875e-03
 9.500000e-07, -2.237485e-03, -7.212500e-05
 1.000000e-06, -1.612485e-03,  6.802875e-03
 1.050000e-06, -2.424985e-03,  5.528750e-04
 1.100000e-06, -1.987485e-03,  7.115375e-03
 1.150000e-06, -2.612485e-03, -7.212500e-05
 1.200000e-06, -2.362485e-03,  6.177875e-03
 1.250000e-06, -2.987485e-03, -7.212500e-05
 1.300000e-06, -2.612485e-03,  5.240375e-03
 1.350000e-06, -3.112485e-03, -3.846250e-04
 1.400000e-06, -2.799985e-03,  2.403750e-04
 1.450000e-06, -3.424985e-03,  6.802875e-03
 1.500000e-06, -3.549985e-03,  5.240375e-03
 1.550000e-06, -3.112485e-03, -7.212500e-05
 1.600000e-06, -3.737485e-03,  6.490375e-03
 1.650000e-06, -3.299985e-03, -6.971250e-04
 1.700000e-06, -3.299985e-03, -1.009625e-03
 1.750000e-06, -3.987485e-03,  4.927875e-03
 1.800000e-06, -3.487485e-03, -1.634625e-03
 1.850000e-06, -4.112485e-03,  4.615375e-03
 1.900000e-06, -3.737485e-03, -1.634625e-03
 1.950000e-06, -4.299985e-03,  3.990375e-03
 2.000000e-06, -3.862485e-03, -1.009625e-03
 2.050000e-06, -4.424985e-03,  3.677875e-03
 2.100000e-06, -3.924985e-03,  3.990375e-03
 2.150000e-06, -4.487485e-03, -1.947125e-03
 2.200000e-06, -4.549985e-03,  4.302875e-03
 2.250000e-06, -3.862485e-03, -1.634625e-03
 2.300000e-06, -4.612485e-03, -3.197125e-03
 2.350000e-06, -3.862485e-03,  2.740375e-03
 2.400000e-06, -4.549985e-03,  3.677875e-03
 2.450000e-06, -3.987485e-03, -2.884625e-03
 2.500000e-06, -4.549985e-03,  3.365375e-03
 2.550000e-06, -3.924985e-03, -2.884625e-03
 2.600000e-06, -4.612485e-03,  3.365375e-03
 2.650000e-06, -3.987485e-03, -4.759625e-03
 2.700000e-06, -4.487485e-03,  3.052875e-03
 2.750000e-06, -3.987485e-03, -3.822125e-03
 2.800000e-06, -4.299985e-03, -4.447125e-03
 2.850000e-06, -3.862485e-03,  2.427875e-03
 2.900000e-06, -3.737485e-03, -3.197125e-03
 2.950000e-06, -4.362485e-03,  2.427875e-03
 3.000000e-06, -4.362485e-03, -5.072125e-03
 3.050000e-06, -3.612485e-03,  1.490375e-03
 3.100000e-06, -3.987485e-03, -3.509625e-03
 3.150000e-06, -3.487485e-03,  2.115375e-03
 3.200000e-06, -3.737485e-03,  2.427875e-03
 3.250000e-06, -3.362485e-03, -4.447125e-03
 3.300000e-06, -2.987485e-03, -5.072125e-03
 3.350000e-06, -3.737485e-03,  1.177875e-03
 3.400000e-06, -3.487485e-03, -4.759625e-03
 3.450000e-06, -2.924985e-03,  8.653750e-04
 3.500000e-06, -3.424985e-03,  8.653750e-04
 3.550000e-06, -2.674985e-03, -5.072125e-03
 3.600000e-06, -3.174985e-03, -5.072125e-03
 3.650000e-06, -2.424985e-03,  1.490375e-03
 3.700000e-06, -2.799985e-03, -5.072125e-03
 3.750000e-06, -2.174985e-03,  5.528750e-04
 3.800000e-06, -2.487485e-03,  2.403750e-04
 3.850000e-06, -1.987485e-03, -4.759625e-03
 3.900000e-06, -2.362485e-03,  8.653750e-04
 3.950000e-06, -1.612485e-03, -5.697125e-03
 4.000000e-06, -2.112485e-03, -6.009625e-03
 4.050000e-06, -1.424985e-03,  1.177875e-03
 4.100000e-06, -1.862485e-03,  1.177875e-03
 4.150000e-06, -1.237485e-03, -6.947125e-03
 4.200000e-06, -1.612485e-03, -5.384625e-03
 4.250000e-06, -9.249850e-04,  2.403750e-04
 4.300000e-06, -1.299985e-03,  2.403750e-04
 4.350000e-06, -5.499850e-04, -6.634625e-03
 4.400000e-06, -1.049985e-03, -7.212500e-05
 4.450000e-06, -3.624850e-04, -6.009625e-03
 4.500000e-06, -6.749850e-04,  2.403750e-04
 4.550000e-06, -4.998500e-05, -6.009625e-03
 4.600000e-06, -4.874850e-04, -7.212500e-05
 4.650000e-06,  2.625150e-04, -6.009625e-03
 4.700000e-06, -2.374850e-04,  2.403750e-04
 4.750000e-06,  6.375150e-04, -6.634625e-03
 4.800000e-06,  7.501500e-05,  8.653750e-04
 4.850000e-06,  9.500150e-04, -6.634625e-03
 4.900000e-06,  4.500150e-04, -6.322125e-03
 4.950000e-06,  1.137515e-03,  5.528750e-04
 5.000000e-06,  7.625150e-04, -6.009625e-03
 5.050000e-06,  1.512515e-03,  5.528750e-04
 5.100000e-06,  1.075015e-03, -6.009625e-03
 5.150000e-06,  1.700015e-03, -7.212500e-05
 5.200000e-06,  1.450015e-03, -7.259625e-03
 5.250000e-06,  1.950015e-03,  1.177875e-03
 5.300000e-06,  1.762515e-03, -7.212500e-05
 5.350000e-06,  2.387515e-03, -6.322125e-03
 5.400000e-06,  2.075015e-03, -5.384625e-03
 5.450000e-06,  2.762515e-03,  8.653750e-04
 5.500000e-06,  2.387515e-03, -5.697125e-03
 5.550000e-06,  3.012515e-03,  5.528750e-04
 5.600000e-06,  2.700015e-03, -6.322125e-03
 5.650000e-06,  3.200015e-03,  2.403750e-04
 5.700000e-06,  2.887515e-03, -5.697125e-03
 5.750000e-06,  3.575015e-03,  8.653750e-04
 5.800000e-06,  3.075015e-03,  1.490375e-03
 5.850000e-06,  3.887515e-03, -5.697125e-03
 5.900000e-06,  3.512515e-03, -5.384625e-03
 5.950000e-06,  4.137515e-03,  1.802875e-03
 6.000000e-06,  3.825015e-03, -4.759625e-03
 6.050000e-06,  4.512515e-03,  1.802875e-03
 6.100000e-06,  4.012515e-03, -5.384625e-03
 6.150000e-06,  4.637515e-03,  1.490375e-03
 6.200000e-06,  4.387515e-03,  1.802875e-03
 6.250000e-06,  4.825015e-03, -4.759625e-03
 6.300000e-06,  4.637515e-03,  1.490375e-03
 6.350000e-06,  5.137515e-03, -4.134625e-03
 6.400000e-06,  4.637515e-03,  2.427875e-03
 6.450000e-06,  5.637515e-03, -4.447125e-03
 6.500000e-06,  4.887515e-03, -3.822125e-03
 6.550000e-06,  5.575015e-03,  2.115375e-03
 6.600000e-06,  5.200015e-03,  2.115375e-03
 6.650000e-06,  5.825015e-03, -5.072125e-03
 6.700000e-06,  5.387515e-03,  1.802875e-03
 6.750000e-06,  6.012515e-03, -4.447125e-03
 6.800000e-06,  5.512515e-03,  3.052875e-03
 6.850000e-06,  6.075015e-03, -4.134625e-03
 6.900000e-06,  5.825015e-03,  3.052875e-03
 6.950000e-06,  6.200015e-03, -2.884625e-03
 7.000000e-06,  5.825015e-03, -3.509625e-03
 7.050000e-06,  6.387515e-03,  3.052875e-03
 7.100000e-06,  6.512515e-03,  3.365375e-03
 7.150000e-06,  5.825015e-03, -2.884625e-03
 7.200000e-06,  6.637515e-03, -2.572125e-03
 7.250000e-06,  5.950015e-03,  3.365375e-03
 7.300000e-06,  6.762515e-03,  4.615375e-03
 7.350000e-06,  6.012515e-03, -3.509625e-03
 7.400000e-06,  6.137515e-03, -2.572125e-03
 7.450000e-06,  6.700015e-03,  4.615375e-03
 7.500000e-06,  6.075015e-03, -2.884625e-03
 7.550000e-06,  6.762515e-03,  4.927875e-03
 7.600000e-06,  5.950015e-03, -1.634625e-03
 7.650000e-06,  6.575015e-03,  5.552875e-03
 7.700000e-06,  5.950015e-03,  4.615375e-03
 7.750000e-06,  6.450015e-03, -2.259625e-03
 7.800000e-06,  6.387515e-03,  4.615375e-03
 7.850000e-06,  5.950015e-03, -6.971250e-04
 7.900000e-06,  6.200015e-03, -3.846250e-04
 7.950000e-06,  5.700015e-03,  4.927875e-03
 8.000000e-06,  5.637515e-03, -6.971250e-04
 8.050000e-06,  6.200015e-03,  6.177875e-03
 8.100000e-06,  6.012515e-03,  5.552875e-03
 8.150000e-06,  5.575015e-03,  2.403750e-04
 8.200000e-06,  6.012515e-03,  6.177875e-03
 8.250000e-06,  5.325015e-03, -7.212500e-05
 8.300000e-06,  5.700015e-03,  5.865375e-03
 8.350000e-06,  5.075015e-03, -1.009625e-03
 8.400000e-06,  5.575015e-03, -6.971250e-04
 8.450000e-06,  4.950015e-03,  6.490375e-03
 8.500000e-06,  5.325015e-03,  7.427875e-03
 8.550000e-06,  4.637515e-03,  2.403750e-04
 8.600000e-06,  5.075015e-03,  5.528750e-04
 8.650000e-06,  4.387515e-03,  6.802875e-03
 8.700000e-06,  4.700015e-03,  6.490375e-03
 8.750000e-06,  4.325015e-03, -7.212500e-05
 8.800000e-06,  4.512515e-03,  8.653750e-04
 8.850000e-06,  4.012515e-03,  6.802875e-03
 8.900000e-06,  4.575015e-03, -3.846250e-04
 8.950000e-06,  3.575015e-03,  7.740375e-03
 9.000000e-06,  4.200015e-03,  8.653750e-04
 9.050000e-06,  3.450015e-03,  7.115375e-03
 9.100000e-06,  3.887515e-03,  8.365375e-03
 9.150000e-06,  3.137515e-03,  2.403750e-04
 9.200000e-06,  3.575015e-03,  5.528750e-04
 9.250000e-06,  2.887515e-03,  8.677875e-03
 9.300000e-06,  3.200015e-03,  6.802875e-03
 9.350000e-06,  2.637515e-03,  8.653750e-04
 9.400000e-06,  2.950015e-03,  8.677875e-03
 9.450000e-06,  2.450015e-03,  1.177875e-03
 9.500000e-06,  2.637515e-03,  2.403750e-04
 9.550000e-06,  2.137515e-03,  7.115375e-03
 9.600000e-06,  2.325015e-03,  7.427875e-03
 9.650000e-06,  1.762515e-03,  8.653750e-04
 9.700000e-06,  1.512515e-03,  8.365375e-03
 9.750000e-06,  2.137515e-03,  5.528750e-04
 9.800000e-06,  1.200015e-03,  7.427875e-03
 9.850000e-06,  1.825015e-03,  8.653750e-04
 9.900000e-06,  1.637515e-03,  8.990375e-03
 9.950000e-06,  8.875150e-04,  1.177875e-03
 1.000000e-05,  1.325015e-03,  5.528750e-04
 1.005000e-05,  6.375150e-04,  7.115375e-03
 1.010000e-05,  1.075015e-03,  8.653750e-04
 1.015000e-05,  3.250150e-04,  7.115375e-03
 1.020000e-05,  6.375150e-04,  7.427875e-03
 1.025000e-05, -1.124850e-04,  1.802875e-03
 1.030000e-05,  2.625150e-04,  1.490375e-03
 1.035000e-05, -3.624850e-04,  6.802875e-03
 1.040000e-05,  2.000150e-04,  7.115375e-03
 1.045000e-05, -6.124850e-04,  5.528750e-04
 1.050000e-05, -2.374850e-04,  7.115375e-03
 1.055000e-05, -8.624850e-04,  8.653750e-04
 1.060000e-05, -6.749850e-04,  7.115375e-03
 1.065000e-05, -1.362485e-03,  8.653750e-04
 1.070000e-05, -7.999850e-04,  6.490375e-03
 1.075000e-05, -1.612485e-03,  5.528750e-04
 1.080000e-05, -1.174985e-03,  6.490375e-03
 1.085000e-05, -1.799985e-03,  5.528750e-04
 1.090000e-05, -1.612485e-03,  6.490375e-03
 1.095000e-05, -2.049985e-03,  2.403750e-04
 1.100000e-05, -1.799985e-03,  5.528750e-04
 1.105000e-05, -2.362485e-03,  6.177875e-03
 1.110000e-05, -2.049985e-03,  6.177875e-03
 1.115000e-05, -2.737485e-03, -1.322125e-03
 1.120000e-05, -2.299985e-03,  6.490375e-03
 1.125000e-05, -2.924985e-03, -3.846250e-04
 1.130000e-05, -2.612485e-03, -3.846250e-04
 1.135000e-05, -3.237485e-03,  5.240375e-03
 1.140000e-05, -2.737485e-03,  5.552875e-03
 1.145000e-05, -3.612485e-03, -3.846250e-04
 1.150000e-05, -3.674985e-03, -6.971250e-04
 1.155000e-05, -3.049985e-03,  5.865375e-03
 1.160000e-05, -3.174985e-03,  5.552875e-03
 1.165000e-05, -3.862485e-03, -1.947125e-03
 1.170000e-05, -3.987485e-03,  4.927875e-03
 1.175000e-05, -3.362485e-03, -1.947125e-03
 1.180000e-05, -3.737485e-03,  4.615375e-03
 1.185000e-05, -4.049985e-03, -1.322125e-03
 1.190000e-05, -3.737485e-03, -1.947125e-03
 1.195000e-05, -4.299985e-03,  4.927875e-03
 1.200000e-05, -3.924985e-03, -1.634625e-03
 1.205000e-05, -4.424985e-03,  4.302875e-03
 1.210000e-05, -3.924985e-03, -2.884625e-03
 1.215000e-05, -4.549985e-03,  4.302875e-03
 1.220000e-05, -3.924985e-03, -2.884625e-03
 1.225000e-05, -4.674985e-03,  3.677875e-03
 1.230000e-05, -3.987485e-03,  3.052875e-03
 1.235000e-05, -4.674985e-03, -3.197125e-03
 1.240000e-05, -4.549985e-03, -3.509625e-03
 1.245000e-05, -4.049985e-03,  3.365375e-03
 1.250000e-05, -4.612485e-03, -2.884625e-03
 1.255000e-05, -3.924985e-03,  4.302875e-03
 1.260000e-05, -4.612485e-03, -3.509625e-03
 1.265000e-05, -3.987485e-03,  3.677875e-03
 1.270000e-05, -4.487485e-03,  2.115375e-03
 1.275000e-05, -3.924985e-03, -3.822125e-03
 1.280000e-05, -4.362485e-03,  2.115375e-03
 1.285000e-05, -3.862485e-03, -3.822125e-03
 1.290000e-05, -4.424985e-03, -3.509625e-03
 1.295000e-05, -3.799985e-03,  1.802875e-03
 1.300000e-05, -4.174985e-03, -5.072125e-03
 1.305000e-05, -3.612485e-03,  2.115375e-03
 1.310000e-05, -4.112485e-03,  2.115375e-03
 1.315000e-05, -3.424985e-03, -5.072125e-03
 1.320000e-05, -3.987485e-03, -5.072125e-03
 1.325000e-05, -3.237485e-03,  8.653750e-04
 1.330000e-05, -3.674985e-03,  5.528750e-04
 1.335000e-05, -3.237485e-03, -5.072125e-03
 1.340000e-05, -2.924985e-03, -5.384625e-03
 1.345000e-05, -3.487485e-03,  1.490375e-03
 1.350000e-05, -2.737485e-03, -5.384625e-03
 1.355000e-05, -3.237485e-03,  1.177875e-03
 1.360000e-05, -3.049985e-03, -7.212500e-05
 1.365000e-05, -2.424985e-03, -5.697125e-03
 1.370000e-05, -2.799985e-03, -6.009625e-03
 1.375000e-05, -2.237485e-03,  2.115375e-03
 1.380000e-05, -2.549985e-03,  8.653750e-04
 1.385000e-05, -1.924985e-03, -5.384625e-03
 1.390000e-05, -2.424985e-03,  1.177875e-03
 1.395000e-05, -1.612485e-03, -6.947125e-03
 1.400000e-05, -2.237485e-03, -5.697125e-03
 1.405000e-05, -1.424985e-03,  1.490375e-03
 1.410000e-05, -1.924985e-03, -6.009625e-03
 1.415000e-05, -1.237485e-03,  1.490375e-03
 1.420000e-05, -1.612485e-03, -6.322125e-03
 1.425000e-05, -9.249850e-04, -3.846250e-04
 1.430000e-05, -1.174985e-03,  2.403750e-04
 1.435000e-05, -7.374850e-04, -6.009625e-03
 1.440000e-05, -9.874850e-04, -5.697125e-03
 1.445000e-05, -2.999850e-04, -6.971250e-04
